emp_no,first_name,last_name,title,to_date
99307,Moto,Thibadeau,Senior Staff,1/1/9999
99313,Masasuke,Caine,Senior Staff,1/1/9999
99340,Masaru,Selvestrel,Senior Staff,1/1/9999
99365,Poornachandra,Kopetz,Senior Engineer,1/1/9999
99367,Uriel,Hutton,Senior Engineer,3/14/2002
99369,Marke,Krohn,Senior Staff,1/1/9999
99371,Tokuyasu,Vuskovic,Senior Engineer,1/1/9999
99376,Olivera,Blokdijk,Senior Engineer,1/1/9999
99390,Cristinel,Potthoff,Senior Engineer,1/1/9999
99400,Hitomi,Decaestecker,Senior Staff,1/1/9999
99408,Idoia,Roisin,Senior Engineer,4/11/1994
99412,Shuho,Christ,Engineer,8/24/1999
99422,Kotesh,Navazio,Senior Staff,1/1/9999
99431,Prodip,Kusalik,Senior Staff,1/1/9999
99438,Vidar,Prochazka,Senior Staff,1/1/9999
99442,Sibyl,Uhrig,Senior Staff,1/1/9999
99443,Zita,Woycyznski,Senior Staff,1/1/9999
99451,Guenter,Riexinger,Senior Staff,1/1/9999
99456,Lech,Verspoor,Engineer,2/2/1996
99466,Margo,Schusler,Senior Engineer,1/1/9999
99473,Jaihie,Servi,Engineer,1/1/9999
99476,Shahaf,Laventhal,Staff,1/1/9999
99481,Arnd,Akaboshi,Senior Staff,1/1/9999
99492,Rosine,Gajiwala,Senior Staff,1/1/9999
99495,Tayeb,Alblas,Senior Staff,7/30/2001
99501,Djenana,Scharstein,Senior Engineer,1/1/9999
99520,Eran,Copas,Senior Engineer,1/1/9999
99522,Murthy,Prenel,Senior Staff,1/1/9999
99527,Feipei,Duclos,Engineer,1/1/9999
99532,Percy,Picco,Staff,3/9/1989
99544,Irene,Petersohn,Engineer,1/1/9999
99550,Tsvetan,Hebert,Senior Staff,7/9/1993
99557,Arlette,Fordan,Senior Staff,1/1/9999
99560,Maris,Calkin,Senior Staff,6/29/1998
99564,Vitali,Azevdeo,Senior Staff,1/1/9999
99567,Christfried,Oberman,Assistant Engineer,1/1/9999
99570,Xiaoheng,Rodham,Technique Leader,8/23/1990
99571,Rajmohan,Slobodova,Senior Engineer,1/1/9999
99583,Holgard,Schmittgen,Senior Staff,1/1/9999
99585,Khoa,Kropp,Engineer,9/26/1991
99592,Jayson,Rubsam,Senior Staff,5/29/1993
99606,Kamran,Flowers,Senior Staff,1/1/9999
99608,Baruch,Paludetto,Engineer,1/1/9999
99611,Breannda,Stasinski,Senior Staff,1/1/9999
99622,Etsuo,Taneja,Senior Engineer,1/1/9999
99637,Moti,Maccarone,Senior Engineer,1/1/9999
99643,Beshir,Babu,Senior Staff,1/1/9999
99646,Manu,Farris,Technique Leader,1/1/9999
99649,Danny,Berstel,Senior Engineer,1/1/9999
99655,Elvis,Borovoy,Senior Engineer,1/1/9999
99671,Tsuneo,Leppanen,Senior Staff,1/1/9999
99681,Henk,Tramer,Senior Staff,1/1/9999
99687,Barna,Yavatkar,Senior Engineer,1/1/9999
99688,Christophe,Noriega,Senior Staff,1/1/9999
99703,Manton,Berstel,Senior Engineer,1/1/9999
99705,Souichi,Bahr,Senior Staff,1/1/9999
99716,Luerbio,Casperson,Senior Staff,1/1/9999
99719,Sreekrishna,Ramamoorthy,Senior Staff,1/1/9999
99729,Dmitri,Porenta,Senior Staff,1/1/9999
99740,Adly,Wiegley,Staff,3/10/1994
99745,Girolamo,Highland,Senior Engineer,1/1/9999
99748,Van,Negoita,Staff,11/17/1996
99769,Xinyu,Winter,Senior Staff,1/1/9999
99771,Gudjon,Lund,Senior Engineer,1/1/9999
99775,Shigeaki,Denis,Senior Staff,12/10/1999
99779,Rasiah,Taubenfeld,Senior Engineer,1/1/9999
99781,Randi,Sury,Senior Staff,1/1/9999
99788,Adly,Orsini,Senior Engineer,1/1/9999
99790,Guadalupe,Lowrie,Senior Engineer,1/1/9999
99792,Kensyu,Calkin,Staff,4/30/2001
99794,Kristin,Garnick,Senior Engineer,1/1/9999
99803,Franziska,Oberman,Staff,9/27/1992
99804,Abdelghani,Benner,Senior Engineer,1/1/9999
99823,Yoshinari,Chiodo,Senior Engineer,1/5/1998
99833,Alagu,Tsukuda,Engineer,6/28/1994
99837,Dipayan,Anick,Senior Engineer,1/1/9999
99845,Ebru,Matheson,Engineer,5/6/1992
99853,Gor,Morrey,Staff,7/12/1990
99860,Mitchel,Homond,Technique Leader,1/1/9999
99874,Leif,Belinskaya,Senior Engineer,1/1/9999
99876,Zhonghui,Angiulli,Senior Engineer,6/2/1997
99880,Herbert,Conti,Senior Staff,1/1/9999
99882,Rafail,Falby,Senior Engineer,1/1/9999
99883,Dulce,Linares,Senior Engineer,1/1/9999
99889,Mohammad,Osgood,Engineer,1/1/9999
99890,Aemilian,Decleir,Senior Staff,1/1/9999
99895,Olivera,Feldmann,Senior Engineer,1/1/9999
99915,Elgin,Perna,Senior Engineer,1/1/9999
99927,Bernardo,Luck,Senior Engineer,1/1/9999
99932,Eishiro,Terwilliger,Engineer,4/1/1989
99937,Yannik,Himler,Senior Engineer,1/1/9999
99966,Masali,Ferretti,Staff,1/1/9999
99972,Jaana,Schaaf,Staff,1/1/9999
99981,Rimon,Grandbois,Senior Engineer,1/1/9999
99989,Divine,Docker,Engineer,1/1/9999
100008,Otmar,Selvestrel,Senior Engineer,4/13/1998
100013,Gunilla,Bernardinello,Senior Engineer,1/1/9999
100017,Saeko,Radwan,Staff,9/10/1995
100022,Iara,Lindenbaum,Senior Staff,1/1/9999
100023,Boutros,Emiris,Assistant Engineer,8/4/1992
100024,Godehard,Pelz,Senior Staff,1/1/9999
100032,Jaewoo,Papsdorf,Senior Staff,1/1/9999
100042,Raimond,Turnbull,Staff,1/1/9999
100046,Jayson,Jumpertz,Senior Engineer,1/1/9999
100048,Dannz,Motley,Technique Leader,3/25/2002
100072,Fan,Zeleznik,Engineer,1/1/9999
100074,Yechiam,Velardi,Senior Engineer,1/1/9999
100092,Eckart,Cannane,Senior Engineer,1/1/9999
100101,Shakhar,Egerstedt,Senior Engineer,1/1/9999
100108,Kwangho,Underwood,Staff,7/30/1995
100112,Akemi,Naumovich,Engineer,1/1/9999
100115,Siddarth,Servieres,Senior Staff,1/1/9999
100117,Fumitaka,Beerel,Senior Staff,1/1/9999
100118,Sajjad,Goldhammer,Technique Leader,1/1/9999
100125,Kristinn,Benveniste,Senior Staff,1/1/9999
100137,Seongbae,Bail,Senior Engineer,1/1/9999
100138,Changho,Prenel,Engineer,1/1/9999
100142,Terresa,Isard,Senior Staff,1/1/9999
100146,Nalini,Woycyznski,Technique Leader,1/1/9999
100158,Ayakannu,Falby,Senior Staff,1/1/9999
100159,Sakthirel,Boudaillier,Senior Engineer,1/1/9999
100169,Ingmar,Angot,Technique Leader,1/1/9999
100172,Selwyn,Kranzdorf,Senior Staff,1/1/9999
100175,Willard,Maginnis,Senior Engineer,1/1/9999
100180,Ohad,Lichtner,Senior Engineer,1/1/9999
100190,Lenore,Thebaut,Technique Leader,1/1/9999
100205,Nahid,Gustavson,Technique Leader,1/1/9999
100206,Arumugam,Wrigley,Senior Engineer,1/1/9999
100229,Aamer,Ferretti,Engineer,6/14/2001
100246,Berna,Jording,Staff,10/9/1992
100255,Amabile,Sullins,Engineer,9/2/1997
100257,Mahmut,Poulakidas,Engineer,1/1/9999
100259,Jiang,Laurillard,Senior Staff,1/1/9999
100264,Jaroslava,Hegner,Senior Engineer,1/1/9999
100274,Fei,Miyakawa,Senior Staff,1/1/9999
100277,Ravishankar,Baby,Senior Engineer,1/1/9999
100279,Mingdong,Gustavson,Staff,1/1/9999
100292,Takanari,Zambonelli,Senior Staff,1/1/9999
100295,Huican,Schmiedel,Senior Staff,1/1/9999
100300,Paraskevi,Lieblein,Senior Engineer,1/1/9999
100303,Huei,Pargaonkar,Senior Engineer,1/1/9999
100305,Christfried,Heyers,Senior Engineer,1/1/9999
100317,Xiaopeng,Lorys,Senior Staff,1/1/9999
100319,Frazer,Billingsley,Senior Engineer,1/1/9999
100322,Janalee,Bahr,Senior Staff,1/1/9999
100331,Leon,Tiemann,Senior Staff,10/1/2000
100332,Tooru,Schonegge,Senior Engineer,1/1/9999
100333,Kyoichi,Radivojevic,Assistant Engineer,1/1/9999
100338,Aiman,Reeker,Engineer,9/4/1989
100347,Otmar,Gajiwala,Senior Staff,3/22/1988
100349,Gianluca,Jarecki,Senior Engineer,1/1/9999
100352,Moss,Poupard,Senior Engineer,1/1/9999
100358,Lucian,Falby,Senior Engineer,1/1/9999
100359,Vishwani,Speer,Senior Engineer,1/1/9999
100364,Douadi,Luit,Assistant Engineer,6/6/2001
100382,Mariangiola,Wynblatt,Senior Engineer,1/1/9999
100384,Richara,Yurek,Senior Engineer,1/1/9999
100386,Lubomir,Dulay,Engineer,1/1/9999
100395,Sadun,Kavraki,Staff,5/25/1990
100403,Chikara,Stavenow,Senior Engineer,1/1/9999
100406,Yoshinari,Coors,Senior Staff,1/1/9999
100413,Mara,Schurmann,Senior Engineer,1/1/9999
100416,Chinya,Neimat,Senior Engineer,1/1/9999
100419,Jaana,Leivant,Senior Staff,1/1/9999
100428,Fayez,Einsfeld,Senior Engineer,1/1/9999
100429,Jayesh,Brender,Senior Engineer,1/1/9999
100436,Subhankar,Gini,Senior Staff,1/1/9999
100444,Arno,Itzigehl,Senior Staff,1/1/9999
100452,Guther,Lowrie,Senior Engineer,1/1/9999
100465,Takahira,Potthoff,Senior Engineer,7/26/1997
100474,Valery,Sichman,Senior Engineer,1/5/1994
100475,Aron,Piazza,Senior Staff,1/1/9999
100486,Radhakrishnan,Maksimenko,Senior Staff,1/1/9999
100492,Vincent,Tibblin,Senior Staff,1/1/9999
100497,Tze,Fortenbacher,Senior Engineer,1/1/9999
100500,Tetsurou,Sichman,Senior Engineer,1/1/9999
100513,Kenroku,Walston,Senior Staff,10/7/1996
100516,Seongbae,Staudhammer,Senior Engineer,1/1/9999
100528,Irene,Kushnir,Senior Staff,7/13/2002
100531,Toshiko,Kranzdorf,Senior Engineer,1/1/9999
100534,Aamer,Luga,Staff,1/1/9999
100555,Lucien,Gecsel,Senior Staff,1/1/9999
100556,Sachem,Kaiserswerth,Senior Staff,1/1/9999
100568,Aral,Huhdanpaa,Senior Staff,1/1/9999
100569,Sreekrishna,Anandan,Senior Engineer,1/1/9999
100574,Lucien,Bennet,Senior Staff,1/1/9999
100576,Xiaopeng,Gluchowski,Staff,5/14/1986
100583,Goetz,Schnelling,Senior Engineer,1/1/9999
100593,Sasan,Sethi,Engineer,1/1/9999
100606,Shigeichiro,Oskamp,Senior Engineer,7/12/1999
100607,Irene,Yetto,Senior Engineer,11/21/2001
100609,Gina,Lakshmanan,Senior Engineer,1/1/9999
100621,Olivera,Joslin,Engineer,1/1/9999
100634,Halsur,Yurek,Senior Engineer,1/1/9999
100653,Georgi,Maraist,Senior Engineer,1/1/9999
100656,Persi,Teitelbaum,Engineer,1/1/9999
100673,Giri,Jiang,Senior Staff,1/1/9999
100674,Mariangiola,Lovengreen,Technique Leader,1/1/9999
100678,Premal,Terkki,Senior Engineer,1/1/9999
100680,Xiping,Duclos,Senior Staff,1/1/9999
100682,Ingemar,Pepe,Engineer,4/5/2000
100686,TRUE,Beausoleil,Senior Staff,1/1/9999
100698,Gino,Atrawala,Senior Staff,1/1/9999
100705,Radhika,McFarlan,Engineer,12/24/1993
100708,Yaghout,Pauthner,Engineer,1/1/9999
100721,Poornachandra,Bade,Senior Engineer,1/1/9999
100725,Zvonko,Maliniak,Senior Staff,1/1/9999
100746,Heather,Rehfuss,Senior Staff,1/1/9999
100748,Uriel,Marakhovsky,Senior Staff,1/1/9999
100753,Zsolt,Baca,Senior Engineer,1/1/9999
100769,Willard,Clemencon,Senior Engineer,1/1/9999
100787,Ewing,Sury,Staff,1/1/9999
100838,Kristin,Serre,Technique Leader,1/1/9999
100842,Dante,Brobst,Senior Engineer,1/1/9999
100845,Bezalel,Angelov,Assistant Engineer,4/9/1986
100846,Mark,Kalloufi,Technique Leader,10/23/1988
100853,Aris,Coombs,Senior Engineer,1/1/9999
100854,Serge,Kaiserswerth,Senior Engineer,1/1/9999
100867,Shridhar,Koblick,Staff,8/18/1990
100880,Chikara,Thibadeau,Senior Staff,1/1/9999
100884,Adamantios,Rousseau,Senior Staff,1/1/9999
100889,Mariusz,Spelt,Senior Staff,1/1/9999
100897,Oksana,Clemencon,Senior Engineer,10/22/1998
100900,Saniya,Vandervoorde,Senior Staff,1/1/9999
100914,Erzsebet,Shackell,Senior Engineer,1/1/9999
100920,Henk,Byoun,Senior Engineer,1/1/9999
100924,Moni,Sewelson,Staff,1/1/9999
100927,Troy,Lovengreen,Assistant Engineer,1/1/9999
100933,Uli,Taneja,Senior Staff,1/1/9999
100934,Goncalo,Czaja,Engineer,1/1/9999
100960,Saniya,Candan,Senior Engineer,1/1/9999
100964,Arra,Mamelak,Senior Engineer,1/1/9999
100965,Lucian,Bultermann,Senior Staff,1/1/9999
100969,Falguni,Eugenio,Staff,3/8/1990
100974,Adas,Ebeling,Engineer,1/1/9999
100998,Breannda,Portugali,Senior Staff,1/1/9999
101000,Vishv,Marrevee,Senior Staff,1/1/9999
101002,Fei,Billawala,Senior Staff,1/1/9999
101003,Pranas,Kusakabe,Engineer,1/1/9999
101005,Niranjan,Erni,Senior Engineer,1/1/9999
101015,Spyrose,Rahier,Senior Staff,1/1/9999
101018,Shigeu,Serra,Senior Engineer,1/1/9999
101033,Zhiwei,Clemencon,Senior Staff,1/1/9999
101034,Elgin,Tyugu,Senior Engineer,1/1/9999
101067,Kerhong,Schmittgen,Assistant Engineer,1/1/9999
101071,Perla,Leivant,Senior Staff,1/1/9999
101073,Yongdong,Iwayama,Senior Engineer,1/1/9999
101078,Fusako,Zedlitz,Senior Engineer,1/1/9999
101086,Fumino,Breugel,Assistant Engineer,1/1/9999
101096,Make,Zaccaria,Senior Engineer,1/1/9999
101098,Maya,Norsworthy,Senior Staff,1/1/9999
101106,Oldrich,Narahari,Senior Staff,8/28/2000
101110,Mahmut,Strooper,Technique Leader,1/1/9999
101117,Visit,Kriebel,Senior Staff,1/1/9999
101122,Nahla,Swick,Senior Staff,1/1/9999
101123,Henk,Wossner,Senior Staff,1/1/9999
101133,Val,Heuter,Senior Staff,9/16/1999
101134,Adas,Ligten,Staff,5/3/1997
101142,Sedat,Gini,Senior Engineer,1/1/9999
101153,Manohar,Gill,Senior Staff,1/1/9999
101172,Nevio,Schoegge,Senior Staff,1/1/9999
101180,Subhada,Przulj,Senior Staff,1/1/9999
101192,Shugo,Poujol,Senior Staff,1/1/9999
101193,Fen,Rabejac,Senior Engineer,1/1/9999
101204,Nikolaus,Schmiedel,Staff,1/1/9999
101206,Nishit,Vitiello,Senior Staff,1/1/9999
101209,Xiaoheng,Backhouse,Staff,3/6/1988
101210,Hidde,Takanami,Senior Engineer,1/1/9999
101218,Basil,Huhdanpaa,Technique Leader,1/1/9999
101221,Phule,Saoudi,Technique Leader,1/1/9999
101239,Toshimori,Khalil,Senior Staff,1/1/9999
101240,Oldrich,Perin,Senior Staff,1/1/9999
101246,Saddek,Sommer,Senior Staff,1/1/9999
101249,Dinkar,Krider,Staff,7/9/1995
101252,Constantino,Speer,Senior Staff,1/1/9999
101254,Franziska,Reinhard,Senior Engineer,7/29/2001
101258,Patricia,Lortz,Senior Engineer,1/1/9999
101265,Emran,Pluym,Staff,3/24/1998
101270,Tsutomu,Nitto,Senior Staff,1/1/9999
101276,Shirish,Leonhardt,Senior Engineer,1/1/9999
101286,Gila,Bernardinello,Engineer,1/1/9999
101288,Bader,Chorvat,Senior Engineer,1/1/9999
101291,Kellie,Mapelli,Senior Engineer,1/1/9999
101294,Sakthirel,Speel,Senior Engineer,1/1/9999
101312,Kamakshi,Auria,Senior Engineer,1/1/9999
101321,Arvind,Beetstra,Senior Engineer,1/1/9999
101331,Tsz,Hagimont,Senior Engineer,1/1/9999
101338,Nobuyoshi,Legleitner,Senior Engineer,1/1/9999
101346,Dinkar,Perfilyeva,Senior Engineer,1/1/9999
101357,Baocai,Clemencon,Senior Staff,1/1/9999
101364,Turgut,Poehlman,Senior Engineer,1/1/9999
101377,Jacqueline,Decaestecker,Senior Engineer,1/1/9999
101378,Reinhold,Monkewich,Staff,7/4/1994
101379,Ult,Lienhardt,Senior Staff,12/10/1985
101380,Cullen,Ghazalie,Engineer,1/1/9999
101385,Maia,Vickson,Technique Leader,1/1/9999
101396,Guther,Pellegrinelli,Senior Staff,1/1/9999
101405,Takahito,Fasbender,Senior Engineer,1/1/9999
101408,Toong,Melton,Engineer,3/8/1999
101412,Nathan,Baaleh,Senior Staff,1/1/9999
101414,Xiaoheng,DasSarma,Senior Staff,1/1/9999
101425,Lalit,Speel,Senior Engineer,1/1/9999
101428,Tiina,Muhling,Senior Engineer,1/1/9999
101440,Aimee,McAffer,Senior Staff,1/1/9999
101445,Remzi,Dehkordi,Senior Staff,1/1/9999
101461,Satosi,Bednarek,Senior Engineer,1/1/9999
101470,Toshiki,Champarnaud,Senior Engineer,1/1/9999
101477,Kenroku,Piazza,Senior Staff,1/1/9999
101479,Hatsukazu,Halloran,Senior Engineer,4/30/2002
101490,Lein,Morrin,Senior Staff,1/1/9999
101501,Rosalie,Vecchi,Technique Leader,1/1/9999
101505,Dietrich,Gornas,Senior Staff,1/1/9999
101509,Goncalo,Kilgore,Engineer,10/16/1991
101515,Nahid,Magalhaes,Senior Staff,1/1/9999
101519,Marek,Macedo,Senior Engineer,1/1/9999
101521,Debatosh,Soloway,Senior Engineer,1/1/9999
101523,Vishv,Quadeer,Technique Leader,1/1/9999
101524,Abdulah,Iisaku,Senior Engineer,3/17/2000
101530,Sushant,Debuse,Technique Leader,1/1/9999
101537,Luigi,Cyre,Senior Engineer,1/1/9999
101558,Wojceich,Tischendorf,Senior Engineer,1/1/9999
101559,Rasiah,Kisuki,Senior Engineer,1/1/9999
101564,Gay,Liedekerke,Staff,10/10/1999
101580,Lein,Bernardinello,Senior Staff,1/1/9999
101587,Hironobu,Puppo,Senior Staff,1/1/9999
101588,Manu,Weedon,Senior Engineer,1/1/9999
101608,Girolamo,Mundy,Senior Staff,1/1/9999
101610,Olivera,Poulakidas,Technique Leader,9/20/2000
101617,Serge,Maquelin,Senior Staff,1/1/9999
101626,Moheb,Vrecion,Senior Staff,1/1/9999
101628,Sudharsan,Bardell,Senior Staff,5/6/1998
101637,Subir,Azuma,Staff,1/1/9999
101638,Gaurav,Conta,Engineer,1/1/9999
101651,Trygve,Templeman,Senior Engineer,1/1/9999
101656,Yaghout,Kornyak,Senior Staff,1/1/9999
101657,Krisda,Herath,Senior Staff,1/1/9999
101678,Sashi,Debuse,Staff,11/8/1989
101681,Goh,Fasbender,Senior Engineer,1/1/9999
101688,Bilhanan,Worfolk,Engineer,1/1/9999
101690,Dante,Lally,Senior Staff,1/1/9999
101709,Zine,Leslie,Senior Staff,9/27/2001
101713,Weiye,Erev,Senior Staff,1/1/9999
101717,Arie,Yetim,Engineer,7/15/2001
101719,Nadjib,Wolniewicz,Senior Engineer,1/1/9999
101721,Hidefumi,Cooke,Senior Engineer,1/1/9999
101742,Tetsushi,Sessa,Senior Staff,1/1/9999
101774,Heekeun,Baba,Senior Engineer,1/1/9999
101775,Tuval,Liedekerke,Engineer,1/1/9999
101778,Aamer,Peha,Senior Engineer,1/1/9999
101785,Noritoshi,Katalagarianos,Senior Staff,5/6/2001
101787,Shunichi,Muhling,Senior Engineer,1/1/9999
101800,Arlette,Iwayama,Engineer,1/1/9999
101808,Atreye,Hedayat,Technique Leader,1/1/9999
101813,Shai,Turnbull,Senior Engineer,1/1/9999
101816,Hongzhu,Claffy,Senior Staff,1/1/9999
101833,Cordelia,Couchot,Senior Staff,1/1/9999
101845,Giordano,Pouyioutas,Senior Staff,1/1/9999
101848,Jouko,Kolinko,Senior Staff,1/1/9999
101850,Domenico,Moehrke,Senior Engineer,6/13/2000
101855,Sven,Majewski,Senior Staff,1/1/9999
101858,Katsuyuki,Nourani,Senior Staff,1/1/9999
101859,Honesty,Perng,Staff,2/8/1996
101869,Zhanqiu,Siprelle,Senior Staff,1/1/9999
101878,Tetsushi,Stroustrup,Senior Staff,1/1/9999
101887,Zhonghua,McAlpine,Senior Engineer,1/1/9999
101888,Eran,Ritcey,Engineer,1/1/9999
101898,Mang,Schwartzbauer,Senior Engineer,1/1/9999
101907,Jianhao,England,Staff,1/1/9999
101909,Mostafa,Underwood,Senior Staff,4/17/2001
101915,Mayuri,Chenoweth,Senior Engineer,1/1/9999
101919,Mantis,Schahn,Senior Staff,1/1/9999
101928,Avishai,Baezner,Engineer,1/1/9999
101932,Christophe,Hashii,Senior Engineer,1/1/9999
101934,Roselyn,Rosin,Senior Staff,1/1/9999
101949,Foong,Pettis,Senior Engineer,1/1/9999
101973,Yucel,Kilgore,Senior Staff,1/1/9999
101989,JiYoung,Plavsic,Senior Engineer,1/1/9999
101993,Manohar,Perez,Senior Staff,1/1/9999
102000,Kersti,Gladwell,Staff,7/1/1993
102011,Genevieve,Lund,Senior Engineer,1/1/9999
102019,Mohammad,Ullian,Senior Staff,1/1/9999
102027,Gladys,Isaak,Senior Engineer,1/1/9999
102028,Yunming,Thiran,Senior Engineer,1/1/9999
102037,Yongqiao,Borovoy,Staff,3/18/2000
102045,Chandrasekaran,Berstel,Engineer,1/1/9999
102052,Shaunak,Krychniak,Senior Staff,1/1/9999
102061,Niclas,Nittel,Senior Engineer,1/1/9999
102062,Shigehiro,Lanteri,Senior Staff,1/1/9999
102068,Zhilian,Bergere,Senior Staff,1/1/9999
102079,Gay,Thiria,Senior Engineer,1/1/9999
102081,Gina,Bridgland,Technique Leader,1/1/9999
102090,Shaleah,Zizka,Senior Staff,1/1/9999
102105,Hironobu,Schwartzbauer,Senior Staff,1/1/9999
102110,Mang,Christ,Senior Staff,1/1/9999
102115,Keiichiro,Kobara,Staff,3/17/1987
102131,Gill,Aseltine,Senior Staff,1/1/9999
102144,Bernice,Karlin,Engineer,1/1/9999
102147,Kristen,Miyakawa,Senior Staff,1/1/9999
102152,Pantung,Ozery,Engineer,7/2/1998
102153,Danel,Lukaszewicz,Senior Staff,1/1/9999
102162,Nevin,Fujisaki,Senior Engineer,1/1/9999
102180,Demos,Waschkowski,Senior Staff,1/1/9999
102187,Fumiya,Eickenmeyer,Senior Staff,1/1/9999
102191,Nikolaos,Menyhert,Senior Engineer,1/1/9999
102217,Christ,Luks,Senior Engineer,1/1/9999
102220,Deborah,Poehlman,Technique Leader,1/1/9999
102221,Manibrata,Orlowska,Senior Engineer,1/1/9999
102225,Stella,Peral,Senior Staff,9/26/1999
102228,Udaiprakash,Nannarelli,Senior Staff,1/1/9999
102232,Roded,Kaiser,Senior Staff,1/1/9999
102239,Jaroslava,Seuren,Engineer,11/8/2001
102240,Shmuel,Rodite,Senior Engineer,1/1/9999
102257,Stella,Tsukune,Senior Engineer,1/1/9999
102266,Mohan,Undy,Senior Engineer,9/7/1997
102286,Cedric,Chachaty,Senior Staff,1/1/9999
102292,Fumiyo,Peltason,Technique Leader,1/1/9999
102298,Tianruo,Selenyi,Engineer,1/1/9999
102314,Anneli,Maliniak,Engineer,1/1/9999
102320,Bangqing,Sichman,Senior Engineer,1/1/9999
102333,Kendra,Stamatiou,Senior Staff,2/5/1996
102336,Frazer,Schlenzig,Senior Engineer,1/1/9999
102353,Elrique,Veccia,Staff,7/14/1992
102371,Chenxi,Chenoweth,Senior Staff,1/1/9999
102372,Maik,Jahnichen,Senior Engineer,1/1/9999
102385,Mountaz,Sidou,Senior Engineer,1/1/9999
102388,Takanari,Ponthieu,Staff,2/10/1997
102395,Kitty,Massonet,Senior Staff,1/1/9999
102403,Tua,Heystek,Senior Staff,9/24/1996
102405,Kagan,Danlos,Senior Staff,1/1/9999
102410,Boalin,Alpay,Staff,9/23/1990
102423,Kazuhiko,Sridhar,Senior Staff,1/1/9999
102427,Idoia,Rindone,Senior Staff,1/1/9999
102430,Mamdouh,Openshaw,Engineer,5/31/1995
102433,Arch,Peek,Senior Staff,1/1/9999
102440,Yucai,Farrow,Senior Staff,1/1/9999
102450,Elgin,Krupka,Senior Engineer,1/1/9999
102451,Vugranam,Harbusch,Engineer,1/1/9999
102456,Leni,Kaminger,Staff,2/23/1998
102465,IEEE,Chiola,Senior Staff,1/1/9999
102479,Serap,Facello,Senior Staff,1/1/9999
102483,Qingxiang,Boissier,Senior Engineer,1/1/9999
102491,Arnd,Lortz,Senior Engineer,2/27/1991
102496,Ayonca,Hiraishi,Senior Engineer,1/1/9999
102514,Arne,Huttel,Senior Engineer,1/1/9999
102515,Elvis,Quaggetto,Engineer,3/17/1986
102520,Tetsurou,Remmers,Senior Engineer,1/1/9999
102548,Tokuyasu,Kragelund,Senior Engineer,1/1/9999
102550,Magy,Stassinopoulos,Engineer,7/22/2001
102552,Danai,Delgrande,Senior Staff,1/1/9999
102597,Waiman,Vidal,Senior Engineer,1/1/9999
102605,Chinhyun,Basart,Senior Engineer,3/3/1998
102609,Chaoyi,Felder,Engineer,1/1/9999
102627,Bedrich,Businaro,Senior Engineer,1/1/9999
102632,Caolyn,Radwan,Senior Engineer,1/1/9999
102654,Gregory,Makinen,Technique Leader,1/1/9999
102673,Stamatina,Vigier,Senior Staff,1/1/9999
102677,Huei,Karcich,Senior Engineer,1/1/9999
102682,Oscar,Reutenauer,Senior Staff,1/1/9999
102689,Karlis,Merkl,Senior Staff,11/23/1995
102692,Saniya,Lindenbaum,Staff,1/1/9999
102700,Juichirou,Hedayat,Senior Engineer,1/1/9999
102704,Slavian,Andreotta,Senior Staff,1/1/9999
102708,Xinglin,Marletta,Senior Staff,1/1/9999
102710,Divier,Szmurlo,Senior Engineer,1/1/9999
102712,Pohua,Ventosa,Staff,6/14/1987
102728,Make,Jiang,Staff,1/1/9999
102733,Marie,Angiulli,Senior Staff,1/1/9999
102737,Fabrizio,Mitina,Senior Engineer,1/1/9999
102738,Ramya,Tchuente,Senior Staff,1/1/9999
102740,Guenter,Gide,Senior Engineer,1/1/9999
102741,Palash,Naumovich,Senior Staff,1/1/9999
102742,Raimond,Kruskal,Engineer,1/1/9999
102754,Mohua,Huhdanpaa,Senior Engineer,1/1/9999
102757,Arno,Pardalos,Senior Engineer,1/1/9999
102762,Josyula,Setlzner,Senior Staff,1/1/9999
102765,Arnould,Lipner,Senior Staff,1/1/9999
102766,Guiseppe,Dechter,Engineer,1/1/9999
102777,Fumiko,Stille,Senior Engineer,1/1/9999
102778,Bernice,Mitchem,Senior Engineer,1/1/9999
102790,Shigeu,Samarati,Senior Engineer,12/31/2001
102793,Joydip,Benzaken,Senior Engineer,1/1/9999
102801,Chanjung,Chachaty,Senior Engineer,1/1/9999
102803,Giri,Servi,Senior Engineer,1/1/9999
102804,Xiaoqiang,Kolvik,Technique Leader,5/2/1990
102808,Qingxiang,Eiter,Senior Engineer,1/1/9999
102810,Jiafu,Birsak,Senior Staff,1/1/9999
102815,Shunichi,Scallan,Senior Staff,1/1/9999
102823,Guadalupe,Schusler,Assistant Engineer,7/11/1990
102828,Divine,Fadgyas,Staff,1/20/1991
102851,Xudong,Bruckman,Technique Leader,1/1/9999
102856,Bogdan,Peron,Senior Staff,1/1/9999
102870,Marsal,Alpay,Senior Staff,1/1/9999
102901,Constantino,Huttel,Senior Engineer,1/1/9999
102912,Teiji,Khalil,Senior Staff,1/1/9999
102922,Kasidit,Nitsche,Technique Leader,5/18/2000
102941,Luigi,Erni,Senior Engineer,1/1/9999
102942,Gretta,Vilarrasa,Senior Staff,1/1/9999
102953,Woody,Terlouw,Senior Engineer,1/1/9999
102962,Chirstian,Kobara,Senior Staff,1/1/9999
102996,Patricio,Riesenhuber,Senior Engineer,1/1/9999
103005,Rafael,Keustermans,Senior Engineer,1/1/9999
